    753.1424        753.1424        738.9838        725.3757     
    712.3278        699.8463        687.9336        676.5875     
    665.8013        655.5629        645.8547        636.6534     
    627.9299        619.6494        611.7712        604.2493     
    597.0327        590.0662        583.2906        576.6440     
    570.0625        563.4820        556.8417        550.0826     
    543.1473        535.9810        528.5318        520.7519     
    512.5975        504.0297        495.0143        485.5226     
    475.5306        465.0197        453.9762        442.3913     
    430.2606        417.5840        404.3652        390.6116     
    376.3333        361.5435        346.2574        330.4919     
    314.2654        297.5976        280.5085        263.0188     
    245.1490        226.9198        208.3515        189.4639     
    170.2763        150.8073        131.0748        111.0958     
    90.88683        70.46322        49.83968        29.03005     
    8.047376       -13.09609       -34.23956    
    753.1424        753.1424        738.9838        725.3757     
    712.3278        699.8463        687.9336        676.5875     
    665.8013        655.5629        645.8547        636.6534     
    627.9299        619.6494        611.7712        604.2493     
    597.0327        590.0662        583.2906        576.6440     
    570.0625        563.4820        556.8417        550.0826     
    543.1473        535.9810        528.5318        520.7519     
    512.5975        504.0297        495.0143        485.5226     
    475.5306        465.0197        453.9762        442.3913     
    430.2606        417.5840        404.3652        390.6116     
    376.3333        361.5435        346.2574        330.4919     
    314.2654        297.5976        280.5085        263.0188     
    245.1490        226.9198        208.3515        189.4639     
    170.2763        150.8073        131.0748        111.0958     
    90.88683        70.46322        49.83968        29.03005     
    8.047376       -13.09609       -34.23956    
    754.8189        754.8189        740.6478        727.0161     
    713.9346        701.4108        689.4484        678.0465     
    667.1995        656.8965        647.1210        637.8508     
    629.0577        620.7074        612.7598        605.1691     
    597.8848        590.8513        584.0094        577.2969     
    570.6497        564.0033        557.2966        550.4702     
    543.4666        536.2307        528.7109        520.8591     
    512.6323        503.9917        494.9040        485.3410     
    475.2802        464.7037        453.5993        441.9591     
    429.7798        417.0624        403.8111        390.0337     
    375.7406        360.9446        345.6604        329.9045     
    313.6943        297.0486        279.9863        262.5273     
    244.6911        226.4976        207.9663        189.1166     
    169.9672        150.5365        130.8419        110.9007     
    90.72894        70.34222        49.75526        28.98207     
    8.035831       -13.07099       -34.17781    
    756.4803        756.4803        742.2969        728.6420     
    715.5275        702.9623        690.9509        679.4939     
    668.5867        658.2198        648.3777        639.0391     
    630.1768        621.7570        613.7402        606.0811     
    598.7290        591.6285        584.7205        577.9422     
    571.2293        564.5170        557.7437        550.8501     
    543.7781        536.4728        528.8823        520.9590     
    512.6597        503.9466        494.7869        485.1533     
    475.0241        464.3829        453.2183        441.5237     
    429.2970        416.5398        403.2571        389.4571     
    375.1501        360.3488        345.0675        329.3219     
    313.1285        296.5052        279.4700        262.0417     
    244.2390        226.0810        207.5866        188.7744     
    169.6628        150.2698        130.6128        110.7086     
    90.57358        70.22316        49.67221        28.93486     
    8.024473       -13.04630       -34.11707    
    758.1479        758.1479        743.9528        730.2755     
    717.1292        704.5236        692.4644        680.9532     
    669.9865        659.5557        649.6466        640.2390     
    631.3062        622.8155        614.7278        606.9983     
    599.5764        592.4067        585.4300        578.5834     
    571.8023        565.0214        558.1791        551.2155     
    544.0726        536.6951        529.0315        521.0341     
    512.6604        503.8728        494.6396        484.9344     
    474.7365        464.0306        452.8068        441.0594     
    428.7874        415.9931        402.6823        388.8630     
    374.5457        359.7427        344.4676        328.7352     
    312.5614        295.9628        278.9565        261.5603     
    243.7921        225.6702        207.2129        188.4382     
    169.3642        150.0086        130.3885        110.5209     
    90.42179        70.10691        49.59116        28.88880     
    8.013391       -13.02220       -34.05780    
    759.8395        759.8395        745.6335        731.9355     
    718.7593        706.1154        694.0102        682.4460     
    671.4205        660.9258        650.9490        641.4706     
    632.4651        623.9005        615.7385        607.9344     
    600.4383        593.1948        586.1446        579.2247     
    572.3701        565.5153        558.5984        551.5594     
    544.3401        536.8852        529.1431        521.0668     
    512.6141        503.7482        494.4383        484.6592     
    474.3914        463.6210        452.3391        440.5415     
    428.2278        415.4011        402.0673        388.2347     
    373.9132        359.1145        343.8513        328.1375     
    311.9879        295.4178        278.4437        261.0821     
    243.3503        225.2657        206.8461        188.1093     
    169.0728        149.7542        130.1706        110.3386     
    90.27466        69.99432        49.51270        28.84423     
    8.002669       -12.99890       -34.00047    
    761.5682        761.5682        747.3528        733.6367     
    720.4339        707.7552        695.6072        683.9928     
    672.9100        662.3521        652.3067        642.7556     
    633.6741        625.0313        616.7895        608.9050     
    601.3279        594.0034        586.8719        579.8708     
    572.9344        565.9974        558.9975        551.8744     
    544.5701        537.0292        529.2006        521.0377     
    512.4990        503.5488        494.1574        484.3011     
    473.9618        463.1271        451.7895        439.9456     
    427.5959        414.7439        401.3953        387.5579     
    373.2411        358.4552        343.2120        327.5240     
    311.4048        294.8687        277.9310        260.6073     
